Gene ID	'10 day' vs '7 day' in 'wild type' .foldChange	'12 day' vs '7 day' in 'wild type' .foldChange	'13 day' vs '7 day' in 'wild type' .foldChange	'15 day' vs '7 day' in 'wild type' .foldChange	'8 day' vs '7 day' in 'wild type' .foldChange	'val1 mutant' vs 'wild type' at '10 days after pollination' .foldChange	'val1 mutant' vs 'wild type' at '13 days after pollination' .foldChange	'val1 mutant' vs 'wild type' at '15 days after pollination' .foldChange	'val1 mutant' vs 'wild type' at '7 days after pollination' .foldChange	'val1 mutant' vs 'wild type' at '8 days after pollination' .foldChange
AT1G64860	NA	-1.5	-2.3	-4.2	NA	NA				
AT1G64880	-1.9	-2.1	-2.1	-2.9	NA	NA				
AT1G64890	NA	1.1	1.1	1.1	NA	NA				
AT1G64900	3.2	4.6	4.9	7	NA	NA	-1.6			
AT1G64950	5	6.6	6.9	8.3	NA	NA				
AT1G64970	-5.3	-3.1	-5.8	-3.7	-1.2	NA				
AT1G64980	1.4	2.3	2.3	1.2	NA	NA	1.1			
AT1G65000	NA	1.2	1.4	2	NA	NA				
AT1G65030	-1.9	-1.9	-1.2	NA	NA	NA				
AT1G65032	-1.3	NA	NA	NA	NA	NA				
AT1G65040	2.6	2.3	2.4	2	NA	NA				
AT1G65060	NA	NA	-1.1	-4.2	NA	NA				
AT1G65070	NA	NA	1.2	1.3	NA	NA				
AT1G65080	-1.7	NA	NA	1.5	NA	NA				
AT1G65090	2.7	3.1	3.3	3.4	1.3	NA				
AT1G65120	NA	NA	NA	1.8	NA	NA				
AT1G65130	-2.2	-2.9	-2.2	-3.1	NA	NA				
AT1G65150	-1.2	-1.5	-2.6	-4.9	-1.1	-2.4	-1.4		-1.4	-1.8
AT1G65180	NA	NA	NA	-2.6	NA	NA				
AT1G65230	NA	-1.4	-2.9	-3.6	NA	NA				
AT1G65240	-3.4	-5.5	-5.6	-5.5	NA	NA				
AT1G65250	-1.2	-1.3	-1.7	-3.4	NA	NA				
AT1G65290	-1.5	-1.7	-1.8	-1.9	NA	NA				
AT1G65295	NA	NA	NA	-1.5	NA	NA				
AT1G65370	NA	NA	NA	NA	NA	NA	1.4			
AT1G65410	NA	-1.2	NA	NA	NA	NA				
AT1G65430	NA	1.2	1.5	1.7	NA	NA				
AT1G65470	-2.6	-3.6	-3.8	-5.8	NA	NA				
AT1G65480	NA	-3.5	NA	-4.5	NA	NA				
AT1G65520	NA	NA	NA	2.7	NA	NA				
AT1G65540	NA	NA	1.1	1.2	NA	NA				
AT1G65580	1.4	1.4	1.5	1.6	NA	NA				
AT1G65590	-2.5	-3.5	-4.7	-7.4	NA	NA				
AT1G65610	3.4	3.5	NA	5.4	NA	NA				
AT1G65620	NA	NA	-1.3	-5.1	NA	NA				
AT1G65630	-2.7	-4.5	-4.7	-4.7	NA	NA				
AT1G65660	NA	NA	1.1	1.4	NA	NA				
AT1G65670	3.8	4.7	NA	NA	NA	NA				
AT1G65700	-2	-1.8	-1.5	NA	NA	NA				
AT1G65710	-2.8	-4.7	-6.1	-9.9	NA	NA				
AT1G65720	NA	NA	NA	1.3	NA	NA				
AT1G65730	NA	NA	1.2	2.3	NA	NA				
AT1G65780	NA	NA	NA	2.9	NA	NA				
AT1G65810	NA	NA	NA	-4.2	NA	NA				
AT1G65820	NA	1.8	2.2	3.3	NA	NA				
AT1G65840	NA	1.3	NA	NA	NA	NA				
AT1G65860	4.6	4.1	2.2	NA	NA	-1.2				
AT1G65870	3.5	4.1	NA	NA	NA	NA				
AT1G65880	5	5.6	5.2	NA	2.2	NA		1.3		
AT1G65900	-1.8	-5	-7.7	-10.4	NA	NA				
AT1G65910	5.4	6.5	6.5	4.9	NA	NA				
AT1G65920	2.3	3	3.5	3.6	NA	NA				
AT1G65930	NA	NA	-1.3	-3.2	NA	NA				
AT1G65950	NA	NA	1.4	1.1	NA	NA				
AT1G65960	NA	NA	-3.8	NA	NA	NA				
AT1G65970	-2	-3.4	-3.2	-3.5	NA	NA				
AT1G65985	NA	-1.2	-1.3	-6.9	NA	NA				
AT1G66040	NA	NA	-3.7	-3.7	NA	NA				
AT1G66050	-3	-5.4	-8.1	-6.5	NA	NA				
AT1G66080	NA	-1.1	-1.1	NA	NA	NA				
AT1G66130	NA	NA	NA	-1.5	NA	NA				
AT1G66140	-2	-2.7	-5	-7.3	NA	NA				
AT1G66150	-3.4	-4.8	-4.9	-7.6	NA	NA				
AT1G66170	NA	-3.8	NA	-4.1	NA	NA				
AT1G66210	-2.4	-2.3	-2.4	-4.1	NA	NA				
AT1G66240	1.2	1.4	1.7	1.8	NA	NA				
AT1G66250	-1.2	-1.3	-1.6	-2.7	NA	NA				
AT1G66270	NA	NA	-1.9	-5.2	NA	NA				
AT1G66290	NA	NA	3.2	NA	NA	NA				
AT1G66340	1.3	1.8	1.6	1.6	NA	NA				
AT1G66345	NA	NA	NA	1.1	NA	NA				
AT1G66350	-1.9	NA	NA	-1.6	NA	NA				
AT1G66360	3.1	4.6	5.1	5	NA	1.1				
AT1G66370	NA	NA	NA	6.8	NA	NA				
AT1G66390	NA	2.1	3.9	6.2	NA	NA				
AT1G66400	1.3	2.8	3.3	1.8	NA	NA				
AT1G66410	NA	NA	NA	1.2	NA	NA				
AT1G66420	-5.1	-5.4	-4.8	-5.6	NA	NA				
AT1G66430	NA	NA	-1.8	-4.4	NA	NA				
AT1G66460	4.4	6.2	NA	NA	NA	NA				
AT1G66470	3.6	4.3	4.2	3.1	NA	NA				
AT1G66500	1.1	2.5	3.6	3.6	NA	1.2				
AT1G66520	-2.4	-2.7	-2.2	-2	NA	NA				
AT1G66530	NA	-1.6	-1.7	-2.2	NA	NA				
AT1G66580	-2.1	-2.4	-2.3	-2.3	NA	NA				
AT1G66590	NA	NA	NA	1.2	NA	NA				
AT1G66620	-3.4	-5.1	-6.1	-7.9	NA	NA				
AT1G66650	-1.2	-1.4	NA	NA	NA	NA	-1.2	-1.4		
AT1G66670	NA	-1.1	NA	NA	NA	NA				
AT1G66730	NA	1.1	1.3	NA	NA	NA				
AT1G66740	-1.4	-1.4	-1.1	NA	NA	NA				
AT1G66770	NA	NA	NA	10.9	NA	NA				
AT1G66780	NA	NA	NA	-2.5	NA	NA				
AT1G66810	1.9	3.1	2.7	NA	NA	NA				
AT1G66820	NA	-1.1	-1.4	-2.4	NA	NA				
AT1G66840	1.7	2.4	2.2	NA	NA	NA				
AT1G66850	-3.5	-4.9	-5.1	-5.2	NA	NA				
AT1G66870	NA	NA	NA	7.5	NA	NA		-1.3		
AT1G66880	NA	-2.5	-3.1	-6.1	NA	NA				
AT1G66890	NA	-2.4	-5.1	-3.8	NA	NA				
AT1G66940	-1.3	-3.8	-5.3	-8.1	NA	NA				
AT1G66950	NA	-5.8	-6	-6	NA	NA				
AT1G66980	NA	NA	NA	-4.1	NA	NA				
AT1G67025	3.1	2.8	NA	NA	NA	NA				
AT1G67035	-3.2	-6.7	-6.5	-7.1	NA	NA				
AT1G67040	NA	NA	-1.2	-3.9	NA	NA				
AT1G67050	NA	NA	NA	NA	NA	NA		1.5		
AT1G67060	NA	NA	NA	-2.6	NA	NA				
AT1G67070	7.4	9.9	10.7	11.5	NA	NA				
AT1G67080	NA	NA	-1.2	-2.7	NA	NA				
AT1G67090	NA	-1.5	-2.7	-6.4	NA	NA				
AT1G67100	1.4	2	2.2	1.7	NA	NA				
AT1G67105	5.4	7.7	8.7	9.1	NA	NA				
AT1G67120	-1.6	NA	NA	2.1	NA	NA	-1.2			
AT1G67180	-3	-4.7	-4.4	-4.2	NA	NA				
AT1G67190	NA	NA	NA	-1.2	NA	NA				
AT1G67210	-1.7	-2.3	-1.7	NA	NA	NA				
AT1G67250	-1.4	-2.1	-2.4	-2	NA	NA				
AT1G67265	NA	NA	-4.2	-4.3	NA	NA				
AT1G67290	-2.8	-3	-3.4	-6	NA	NA				
AT1G67300	2.3	2.6	2.8	3.2	NA	NA				
AT1G67310	1.9	2	1.9	1.5	NA	NA				
AT1G67320	-2.8	-3.8	-4.2	-4	NA	NA				
AT1G67340	NA	1.6	2	3	NA	NA				
AT1G67360	1.5	1.8	NA	-1.3	NA	NA				
AT1G67365	2.5	3.9	4.5	5.9	NA	NA				
AT1G67370	NA	NA	2	3	NA	NA				
AT1G67400	1.5	1.5	1.7	1.1	NA	NA				
AT1G67410	NA	NA	1.1	1.4	NA	NA				
AT1G67420	1.1	1.1	1.4	1.2	NA	NA				
AT1G67430	-1.5	-1.6	-1.6	-2.3	NA	NA				
AT1G67470	4.2	5.1	5	4	NA	NA				
AT1G67480	-1.6	-2	-1.5	NA	NA	NA				
AT1G67500	NA	1.3	1.8	2.2	NA	NA				
AT1G67510	1.6	1.2	NA	NA	NA	NA				
AT1G67530	NA	NA	1.4	1.8	NA	NA				
AT1G67560	NA	NA	2.3	4.1	NA	NA	-1.3	-1.2		
AT1G67590	NA	NA	NA	-4.2	NA	NA		1.8		
AT1G67600	2.1	3.5	4.3	5.6	NA	NA				
AT1G67620	-1.2	-1.2	NA	NA	NA	NA				
AT1G67630	-1.8	-1.4	-2.8	-6.6	NA	NA				
AT1G67650	2.1	1.9	1.1	NA	1.1	NA				
AT1G67660	-1.7	-2.1	-1.6	-1.1	NA	NA				
AT1G67680	NA	NA	NA	-1.1	NA	NA				
AT1G67690	NA	NA	-1.2	-1.8	NA	NA				
AT1G67700	-1.1	-2.4	-2.8	-2.9	NA	NA				
AT1G67710	2.5	NA	NA	NA	1.7	NA				
AT1G67720	1.8	2	1.8	NA	NA	NA				
AT1G67730	1.6	1.3	NA	NA	NA	NA				
AT1G67740	NA	-1.6	-2.8	-6.9	NA	NA				
AT1G67750	-1.9	-4.5	-6.9	-6.9	NA	NA				
AT1G67760	-3.4	-2.9	-4.9	-4.9	NA	NA				
AT1G67770	1.9	2	NA	-2.7	NA	NA	1.3	1.9		
AT1G67780	-2.9	-4.8	-6.5	-8.8	NA	NA				
AT1G67785	NA	NA	NA	-1.1	NA	NA				
AT1G67800	1.2	1.2	1.4	1.5	NA	NA				
AT1G67820	-1.7	-1.1	NA	NA	NA	NA				
AT1G67830	NA	-2.8	-5	-8.9	NA	NA				
AT1G67850	NA	NA	1.4	2	NA	NA	-1.2			
AT1G67880	NA	NA	NA	1.1	NA	NA				
AT1G67900	NA	NA	NA	-1.1	NA	1.4	2	1.7		
AT1G67920	NA	NA	3.1	8.5	NA	NA		-1.1		
AT1G67930	NA	NA	NA	-1.1	NA	NA				
AT1G67940	NA	-2.8	-2.8	-5.2	NA	NA				
AT1G67950	NA	NA	NA	-2	NA	NA				
AT1G67960	NA	NA	-1.5	-1.8	NA	NA				
AT1G67970	1.3	1.5	1.3	1.8	NA	NA				
AT1G68010	NA	NA	-1.3	-2.2	NA	NA				
AT1G68020	1.1	1.2	1.6	3	NA	NA				
AT1G68050	4.1	4.4	4.5	5.9	2.3	NA				
AT1G68060	NA	NA	NA	-2.3	NA	NA				
AT1G68070	NA	1.1	1.1	1.8	NA	NA				
AT1G68080	NA	NA	NA	1.2	NA	NA				
AT1G68110	-2	-3.1	-2.7	-5	NA	NA				
AT1G68120	-2.4	-1.9	-2	-2.3	NA	NA				
AT1G68130	NA	NA	NA	NA	NA	NA			-1.1	-1.2
AT1G68140	NA	1.2	2	2.7	NA	NA				
AT1G68170	1.8	3.5	4.3	2.9	1.1	1.3		2.1		
AT1G68180	NA	4.6	5.2	NA	NA	NA				
AT1G68190	NA	-4.7	-4.9	NA	NA	NA				
AT1G68220	1.1	1.8	2.2	3.2	NA	NA				
AT1G68250	NA	7.6	9.8	16.4	NA	NA				
AT1G68260	NA	NA	NA	-2.2	NA	NA				
AT1G68300	NA	NA	-1.2	-1.2	NA	NA				
AT1G68320	NA	NA	NA	NA	NA	NA	1.7			
AT1G68330	2.8	NA	NA	NA	NA	NA				
AT1G68340	NA	NA	1.4	2.5	NA	NA				
AT1G68360	1.6	1.3	NA	NA	NA	NA	-1.3			
AT1G68380	2.7	4.4	NA	NA	NA	NA				
AT1G68400	NA	NA	-1.7	-5.8	NA	NA		1.3		
AT1G68430	NA	1.1	NA	-3.9	NA	NA				
AT1G68440	-2.5	-2.7	-4.8	-7.7	NA	NA				
AT1G68460	3.6	4.5	4.6	3.6	NA	NA				
AT1G68470	4.2	4.8	4.6	2.9	1.3	NA				
AT1G68480	-6.7	-7.5	-7.7	-8.7	-1.4	NA				
AT1G68500	2.7	NA	NA	4.3	NA	NA				
AT1G68510	1.8	1.4	NA	-3.9	NA	NA		1.8		
AT1G68540	2.5	2.8	2.5	NA	NA	NA		1.1		
AT1G68560	-3.2	-5.3	-6.5	-8.1	NA	NA				
AT1G68570	NA	NA	3.8	10.2	NA	NA				
AT1G68585	1.6	NA	NA	NA	NA	NA				
AT1G68590	-3.7	-6.1	-7.1	-8.9	NA	NA				
AT1G68630	-3.9	-4.7	-4.2	-5	-1.1	NA				
AT1G68640	-3.8	-5.4	-6.6	-8.9	-1.2	NA				
AT1G68650	-2.1	-4.3	-5.9	-7.3	NA	NA			-1.2	-1.3
AT1G68660	NA	1.1	1.3	1.9	NA	NA				
AT1G68670	NA	NA	1.3	NA	NA	NA				
AT1G68690	1.7	2.9	3.5	3.9	NA	NA				
AT1G68710	NA	NA	NA	-1.2	NA	NA				
AT1G68725	-1.6	-1.5	-1.5	NA	-1.2	NA				
AT1G68730	-2	-2.5	-1.5	NA	NA	NA				
AT1G68735	-1.9	NA	NA	NA	-1.1	NA				
AT1G68740	-3.1	-5.2	-4.6	-5.5	NA	NA				
AT1G68760	NA	NA	-1.1	-2.3	NA	NA				
AT1G68780	NA	-1.3	-2.4	-6.5	NA	NA				
AT1G68795	1.1	1.6	NA	NA	NA	NA				
AT1G68810	NA	NA	NA	-3.1	NA	NA				
AT1G68820	1.4	1.7	2.1	1.7	NA	NA				
AT1G68825	NA	NA	-1.8	-6.3	NA	NA	1.5	1.3		
AT1G68830	NA	1.4	1.6	2.3	NA	NA				
AT1G68850	3.6	7.8	3.8	NA	NA	NA				
AT1G68862	1.4	1.5	1.5	NA	NA	NA				
AT1G68870	-2.1	-2.3	-2	-3.3	-1.1	NA				
AT1G68890	-1.1	-2.6	-3.5	-8.9	NA	NA				
AT1G68905	2.1	NA	NA	NA	NA	NA				
AT1G68930	-1.7	NA	NA	NA	NA	NA				
AT1G68940	1.3	1.5	2	NA	NA	NA				
AT1G68945	NA	NA	NA	1.5	NA	NA		-1.1		
AT1G68990	-1.8	NA	NA	NA	NA	NA				
AT1G69010	NA	-1.3	-1.2	NA	NA	NA				
AT1G69030	NA	NA	-1.5	-2.7	NA	NA				
AT1G69040	NA	NA	-1.3	-1.4	NA	NA				
AT1G69060	NA	NA	1.2	1.1	NA	NA				
AT1G69070	-1.8	-1.5	-1.1	NA	NA	NA				
AT1G69080	2.5	NA	NA	NA	NA	NA				
AT1G69160	1.7	NA	NA	NA	1.3	NA				
AT1G69170	1.2	1.6	2.5	2.8	NA	NA				
AT1G69180	-6.6	-7.5	-7.8	-7.8	-1.6	NA				
AT1G69200	-3.8	-4	-3.5	-2.4	NA	NA				
AT1G69210	-2.3	-2.3	-1.5	NA	NA	NA				
AT1G69230	NA	3.5	NA	NA	NA	NA				
AT1G69250	-1.2	NA	NA	NA	NA	NA				
AT1G69252	NA	1.1	1.5	2.3	NA	NA				
AT1G69260	2.1	2.7	3.8	6	1.3	NA				
AT1G69295	1.4	2.5	3	3.9	NA	NA				
AT1G69330	NA	-1.2	-2.1	-2.7	NA	NA				
AT1G69340	1.3	1.3	1.4	1.4	NA	NA				
AT1G69350	-1.9	-1.6	NA	NA	NA	NA				
AT1G69370	-1.4	-2.2	-2.3	-1.2	NA	NA				
AT1G69390	NA	NA	-1.3	-1.3	NA	NA				
AT1G69400	-2	-1.9	-1.8	NA	NA	NA				
AT1G69410	4.1	4.8	5.5	6	NA	NA				
AT1G69420	NA	NA	-1.2	-3.2	NA	NA				
AT1G69430	NA	1.6	2.2	2.9	NA	NA				
AT1G69440	NA	NA	-1.3	-3.6	NA	NA				
AT1G69450	NA	NA	2.1	NA	NA	NA				
AT1G69490	NA	-3.4	-3.3	-4.1	NA	1.3				1.1
AT1G69523	1.8	1.5	NA	NA	NA	NA				
AT1G69526	2.8	3	2.7	NA	NA	NA				
AT1G69530	5.8	6.6	6.2	3.7	2.8	NA				
AT1G69540	NA	NA	NA	9.7	NA	NA				
AT1G69550	NA	NA	NA	-1.4	NA	NA				
AT1G69570	2.8	4.9	4.8	3.4	NA	NA	1.4	1.5		
AT1G69580	1.3	2.2	1.3	NA	NA	NA				
AT1G69588	1.4	1.4	NA	-4.2	NA	NA				
AT1G69600	NA	NA	1.1	1.2	NA	NA				
AT1G69610	NA	-2.2	-2.9	-4.8	NA	NA				
AT1G69620	-1.6	-1.8	-1.9	-3	NA	NA				
AT1G69690	NA	-1.7	-2.9	-4.3	NA	NA				
AT1G69700	NA	-1.5	-3	-8	NA	NA		1.9		
AT1G69710	-1.8	NA	NA	NA	NA	NA				
AT1G69740	-1.5	-2.1	-2.3	-2.6	NA	NA				
AT1G69750	NA	NA	NA	1.1	NA	1.4				
AT1G69760	-2.1	-1.9	-1.5	NA	NA	NA				
AT1G69770	-4.1	-5.5	-7.1	-8.6	NA	NA				
AT1G69780	1.5	2.3	1.6	-3	NA	NA				
AT1G69790	5.8	9.3	10.6	11.8	NA	NA				
AT1G69800	1.7	1.9	2.6	4	NA	NA				
AT1G69830	1.2	1.5	1.4	NA	NA	NA				
AT1G69840	NA	NA	NA	1.7	NA	NA				
AT1G69850	3.4	3.1	3.4	2.7	1.1	NA				
AT1G69860	-3	-4.8	-5.8	-5.9	NA	NA				
AT1G69870	NA	NA	NA	NA	NA	NA	1.3	1.4		
AT1G69890	NA	NA	3.4	6.6	NA	NA				
AT1G69910	NA	NA	NA	-2	NA	NA				
AT1G69940	-1.8	-3	NA	1.9	NA	NA		-1.6		
AT1G69960	NA	NA	NA	1.9	NA	NA				
AT1G69970	3.9	4.9	4	NA	NA	NA				
AT1G69980	NA	1.1	1.3	1.5	NA	NA				
AT1G70000	-1.8	-2.3	-4.3	-6.4	NA	NA				
AT1G70040	-3.6	-4	-4.3	-4.3	NA	NA				
AT1G70070	-1.8	-2.2	-2	-2	NA	NA				
AT1G70080	3	2.5	1.8	NA	NA	-1.3		1.7		
AT1G70090	2.3	2.9	3	1.7	NA	NA				
AT1G70100	NA	NA	NA	-1.5	NA	NA				
AT1G70140	NA	NA	2.1	5.6	NA	NA	-1.2	-1.2		
AT1G70160	NA	NA	NA	1.2	NA	NA				
AT1G70190	-1.1	NA	NA	NA	NA	NA				
AT1G70200	-2.5	-2.8	-2.8	-2.2	NA	NA				
AT1G70210	NA	NA	-1.6	-3.1	NA	NA	1.2	1.4		
AT1G70220	NA	NA	NA	-3.4	NA	NA				
AT1G70230	-5.3	-5.5	-5.8	-5.8	NA	NA				
AT1G70250	2.4	2.4	NA	NA	NA	NA				
AT1G70280	-2.2	-3.5	-5	-8.4	NA	NA	1.1			
AT1G70290	-2	-3.4	-4.5	-2.8	NA	NA				1.1
AT1G70300	NA	1.3	1.3	NA	NA	NA				
AT1G70310	-1.1	-1.1	-1.2	-1.1	NA	NA				
AT1G70320	NA	NA	NA	1.3	NA	NA				
AT1G70340	-1.6	-3.1	-3.9	-5	NA	NA				
AT1G70350	-1.9	-1.7	-1.5	-1.2	NA	NA				
AT1G70370	NA	NA	-2.4	-5.8	NA	NA	1.7			
AT1G70410	NA	NA	NA	4.4	NA	NA				
AT1G70420	3.4	4.7	5.2	5.1	1.1	NA				
AT1G70430	1.2	NA	-2.4	-6.2	NA	NA				
AT1G70460	NA	NA	-3.2	NA	NA	NA				
AT1G70470	NA	-1.5	-3.3	-6.2	NA	NA				
AT1G70480	NA	NA	-1.5	-4.1	NA	NA				
AT1G70490	NA	-1.4	-1.8	-3.2	NA	NA				
AT1G70505	1.4	1.3	1.4	NA	NA	NA				
AT1G70510	-1.2	-3.2	-3.6	-3	NA	NA	1.3	1.2		
AT1G70520	NA	NA	1.8	2.5	NA	NA	-1.5			
AT1G70530	1.2	1.7	2.1	2.3	NA	NA				
AT1G70540	NA	-3.6	-3.9	NA	NA	NA				
AT1G70560	NA	1.2	NA	NA	NA	NA				
AT1G70570	NA	1.1	1.2	1.1	NA	NA				
AT1G70580	2.1	2.3	2.7	3	NA	NA				
AT1G70590	NA	NA	1.3	2.4	NA	NA				
AT1G70600	-1.7	-2	-2	-3.1	NA	NA				
AT1G70610	NA	1.8	2.4	2.8	NA	NA				
AT1G70620	1.6	1.2	1.4	NA	NA	NA				
AT1G70670	1.8	1.9	NA	-2	NA	NA				
AT1G70680	NA	3.7	1.8	NA	NA	NA				
AT1G70700	NA	2.2	NA	NA	NA	NA				
AT1G70710	-5.3	-7.9	-9.4	-10.7	NA	NA				
AT1G70720	NA	NA	-3.2	NA	NA	NA				
AT1G70730	NA	1.3	1.5	1.6	NA	NA				
AT1G70740	NA	NA	1.1	1.9	NA	NA				
AT1G70750	1.8	2.3	2.1	NA	NA	NA				
AT1G70770	NA	NA	NA	-1.4	NA	NA				
AT1G70790	NA	NA	NA	1.5	NA	NA				
AT1G70800	4	6.7	7.6	10.5	NA	NA	-1.8			
AT1G70810	1.9	3.7	4.2	4.8	NA	NA				
AT1G70820	NA	NA	NA	NA	1.8	NA				
AT1G70830	-1.8	-5.1	-7.1	-8.6	NA	NA				
AT1G70840	NA	NA	NA	7.3	NA	NA				
AT1G70895	-1.1	-1.3	-1.5	-3.9	NA	NA				
AT1G70940	NA	-1.5	-2	-4	NA	NA				
AT1G70950	NA	3.4	2.9	NA	NA	NA				
AT1G70980	1.2	1.5	1.7	1.7	NA	NA				
AT1G70985	6.7	9.2	10.9	13	NA	NA				
AT1G70990	NA	NA	NA	NA	NA	1.1	2.2	1.3		
AT1G71002	4.6	4.3	4.1	3.7	1.2	NA				
AT1G71020	-1.4	-2.3	-2.5	-3.8	NA	NA				
AT1G71030	NA	NA	NA	-3.5	NA	NA				
AT1G71040	5	5.7	5.5	4.2	NA	NA				
AT1G71050	5.2	6.3	6.5	7.3	NA	NA				
AT1G71060	-1.5	-1.5	-1.1	NA	NA	NA				
AT1G71090	1.5	NA	NA	NA	NA	NA				
AT1G71100	-3.1	-3.2	-3.4	-3.8	NA	NA				
AT1G71110	NA	NA	1.2	1.9	NA	NA				
AT1G71120	-4.9	-5	-7	-8.1	NA	NA				
AT1G71130	NA	NA	NA	1.7	NA	NA				
AT1G71140	2.7	4	5.6	9.2	NA	NA	-1.5			
AT1G71160	-2.7	NA	NA	-3.5	NA	3.4				
AT1G71180	-1.2	-1.7	-2.5	-2.4	NA	NA				
AT1G71190	1.2	1.5	1.4	1.7	NA	NA				
AT1G71200	NA	3.1	5.8	8.1	NA	NA	-1.3			
AT1G71220	NA	NA	NA	-2.1	NA	NA				
AT1G71230	NA	-1.1	-1.7	-1.4	NA	NA				
AT1G71240	NA	1.1	1.3	1.8	NA	NA				
AT1G71250	-5.5	-5.9	-7.9	-7.5	NA	NA				
AT1G71260	-2.3	-2.2	-1.9	-1.5	NA	NA				
AT1G71280	NA	NA	3.1	NA	NA	NA				
AT1G71330	2.7	4	5	4.2	NA	NA				
AT1G71340	3.1	3.8	4.2	3.9	NA	NA				
AT1G71350	NA	NA	NA	1.7	NA	NA				
AT1G71360	1.4	1.8	2.3	3	NA	NA				
AT1G71380	NA	-3.4	NA	NA	NA	NA				
AT1G71410	1.3	1.3	1.2	NA	NA	NA				
AT1G71430	-1.3	NA	NA	NA	NA	NA				
AT1G71440	NA	NA	-1.1	-2.3	NA	NA				
AT1G71460	-1.5	-1.5	NA	NA	NA	NA				
AT1G71480	1.7	2.4	2.2	1.3	NA	NA		1.2		
AT1G71490	NA	NA	1.1	1.3	NA	NA				
AT1G71500	-1.6	-2.4	-3.1	-3.2	NA	NA				
AT1G71520	-3	NA	NA	NA	NA	NA				
AT1G71690	NA	NA	-2.1	-6	NA	NA	1.4			
AT1G71691	NA	NA	-1.7	-7.5	NA	NA	1.1	1.3		
AT1G71692	-4.3	-5.5	-6.5	-6.5	NA	NA				
AT1G71695	1.7	1.5	1.3	NA	1.3	NA				
AT1G71697	-1.7	NA	-2.4	NA	NA	NA				
AT1G71730	-1.3	-1.3	NA	NA	NA	NA				
AT1G71750	-1.5	-1.7	-1.6	-1.6	NA	NA				
AT1G71760	-3.2	-7.5	-5.8	-7.8	NA	NA				
AT1G71770	-3.9	-3.1	-5	-4.9	-1.5	NA			1.2	1.3
AT1G71810	NA	1.1	1.5	NA	NA	NA				
AT1G71830	NA	NA	NA	-2	NA	NA				
AT1G71850	-2.8	-2	-1.5	NA	NA	NA				
AT1G71860	-1.6	-2	-1.9	-2.3	NA	NA				
AT1G71865	NA	NA	1.5	2.4	NA	NA				
AT1G71870	-4.8	-5.6	-8.5	-9.4	-1.2	NA				
AT1G71880	-3.1	-5.1	-6.7	-6.7	NA	NA				
AT1G71890	-1.9	-6	-7.1	-9.5	NA	NA				
AT1G71940	1.2	1.6	2.1	2.3	NA	NA				
AT1G71950	NA	NA	1.1	1.9	NA	NA				
AT1G71960	NA	-2.3	-4.5	-5.4	NA	NA	2.4			
AT1G71970	NA	NA	NA	-2.3	NA	NA				
AT1G71980	NA	NA	NA	1.1	NA	NA				
AT1G72030	NA	NA	NA	-3.2	NA	NA		1.9		
AT1G72040	-2	-1.1	NA	1.1	NA	NA				
AT1G72090	NA	NA	-1.1	-2	NA	NA				
AT1G72100	6.9	9.1	10.4	12.5	2.2	NA	-1.6			
AT1G72120	NA	2.7	4	7.3	NA	NA	-1.4	-1.4		
AT1G72125	1.4	1.6	1.5	NA	NA	NA				
AT1G72130	1.7	1.9	1.5	NA	NA	NA				
AT1G72150	3.1	4.1	3.8	2.3	NA	NA				
AT1G72160	1.9	2.3	2.2	NA	NA	NA				
AT1G72170	-1.1	-1.3	-1.4	-1.2	NA	NA				
AT1G72175	NA	1.2	2.1	2.7	NA	NA				
AT1G72180	NA	3.1	3.6	3.2	NA	NA				
AT1G72200	NA	NA	NA	NA	NA	1.4	1.4			
AT1G72210	NA	-1.2	-2	NA	NA	NA				
AT1G72230	2.9	2.7	NA	NA	NA	NA				
AT1G72240	NA	1.9	2	NA	NA	NA		1.3		
AT1G72250	-2.4	-4.7	-5.8	-9.6	NA	NA				
AT1G72280	2.1	3	3	1.3	NA	NA				
AT1G72300	NA	NA	NA	1.5	NA	NA				
AT1G72320	-1.4	-1.3	NA	NA	NA	NA				
AT1G72360	NA	1.4	2.4	3.6	NA	NA	-1.3			
AT1G72370	-1.3	-1.6	-1.4	-2.5	NA	NA				
AT1G72390	NA	NA	NA	1.1	NA	NA				
AT1G72410	NA	NA	NA	-2.6	NA	NA				
AT1G72430	1.7	1.5	NA	-1.2	NA	NA				
AT1G72440	-1.5	-1.4	NA	NA	NA	NA				
AT1G72450	-2.4	-2.1	-4.3	-2.8	NA	NA				
AT1G72470	NA	NA	NA	-3.4	NA	NA		1.3		
AT1G72480	1.4	1.2	1.2	NA	NA	NA				
AT1G72500	-2.5	-4.1	-1.4	-1.8	NA	NA	-1.5			
AT1G72510	NA	-2.2	-5.7	-8.3	NA	NA				
AT1G72570	5.7	10.8	12.8	14	NA	NA				
AT1G72580	-4.3	-3.7	-3.2	-2.4	-2	NA				
AT1G72590	NA	2	NA	NA	NA	NA				
AT1G72600	2	2.8	2.9	2.8	NA	NA				
AT1G72620	2	NA	NA	NA	NA	1.5	1.7			
AT1G72640	NA	NA	NA	-3.1	NA	NA				
AT1G72645	2.1	1.6	1.3	-1.3	NA	NA				
AT1G72650	NA	NA	1.1	1.1	NA	NA				
AT1G72660	2.1	2.8	3.1	5.2	NA	NA				
AT1G72670	-2.7	-4.8	-6.2	-6.4	NA	NA				
