	query name	match name	R	p-value
0	x4cl	Control root 		1.0
1	x4cl	Bark of wildtype	-0.14461373749778808	0.007051247636825139
2	x4cl	Methyl Jasmonate treated root	0.18611408062856474	0.0005017021870460643
3	x4cl	Bark of MIR15	-0.14774063718638292	0.005899515103877205
4	x4cl	OEGA.ARK2.OW	0.052908916212420304	0.3264503563935818
5	x4cl	shortday-mature-control	-0.2385145951118569	7.275186883109098e-06
6	x4cl	miR.ARK2.TW	0.0788325703891677	0.143373721972336
7	x4cl	OEGA.ARK2.NW.B	0.034943365332370954	0.5170949615183948
8	x4cl	Roots WT		1.0
9	x4cl	longday-developing-control	-0.02310390788596334	0.668462185670796
10	x4cl	longday-mature-drought	-0.21546139050440705	5.3253030117243246e-05
11	x4cl	Galls WT	0.07255999027419868	0.17811385178037833
12	x4cl	Roots CAD mutant	0.03424474678946414	0.5255130402287629
13	x4cl	shortday-developing-drought	-0.08646624357742069	0.10837213881151332
14	x4cl	shortday-mature-drought	-0.24579567391416784	3.7155638776249784e-06
15	x4cl	miR.ARK2.NW.A	0.07643557416086737	0.1559821160306427
16	x4cl	longday-developing-drought	-0.040030327127927715	0.45796002962228344
17	x4cl	Galls CAD mutant	0.11052608044813092	0.03990185831323348
18	x4cl	longday-mature-control	-0.25553360668334424	1.4632376244979304e-06
19	x4cl	WT.NW.A	0.06415365974194406	0.2339539836894458
20	x4cl	OEGA.ARK2.TW	0.068842976157177	0.20144856954689094
21	x4cl	miR.ARK2GA.OW	0.11036937118309802	0.04018597666458768
22	x4cl	shortday-developing-control	-0.10885975682433223	0.043011493777012175
23	x4cl	miR.ARK2.NW.B	0.013279497106737701	0.8055816751261671
24	x4cl	WT.NW.B	0.06355887280226091	0.23832744046647542
25	x4cl	WT.TW		1.0
26	x4cl	WTGA.NW.B	-0.05707583741475794	0.2897394910305019
27	x4cl	WT.OW	-0.07790059038123887	0.1481802196447668
28	x4cl	20YoungWT4Cork	-0.24129613442419603	5.642121261305278e-06
29	x4cl	WTCork	-0.25134813325383	2.1943277032538627e-06
30	x4cl	miR.ARK2.OW	-0.05011480058960658	0.3526818576001971
31	x4cl	YoungWTControl	-0.20144175142815848	0.00016180537475480371
32	x4cl	OEGA.ARK2.NW.A	-0.10077530514140731	0.061135378178709975
33	x4cl	OEGA.ARK2GA.OW	0.3117053735910989	3.1164869303984252e-09
34	x4cl	WTControl		1.0
35	x4cl	miR.ARK2GA.TW	0.27501947429292756	2.0175438319063772e-07
36	x4cl	MOMT4 transgenic	0.18418362249173695	0.0005750488679093522
37	x4cl	miR.ARK2GA.NW.B	0.275596397310404	1.8980056833737583e-07
38	x4cl	WTGA.OW	0.31255519719214153	2.809565227305923e-09
39	x4cl	Wild Type	0.18297060058094305	0.0006260970641257046
40	x4cl	WTGA.TW	0.2491313390862449	2.711840277105429e-06
41	x4cl	miR.ARK2GA.NW.A	0.273106352986217	2.4680112567528735e-07
42	x4cl	OEGA.ARK2GA.TW	0.2949163244532784	2.2610367417541305e-08
43	x4cl	OEGA.ARK2GA.NW.B	0.2911487582269478	3.467324271099906e-08
44	x4cl	WTGA.NW.A	0.22589459967344097	2.2190307555999266e-05
45	x4cl	OEGA.ARK2GA.NW.A	0.27516961686928265	1.9857550584954858e-07
46	x4cl	Callus	0.6506690615712913	4.927045252391268e-43
47	x4cl	Pdeltoides pollen	0.28847848792214215	4.677061754674377e-08
48	x4cl	TW LPI_1	0.6658193103643008	1.1303590773081638e-45
49	x4cl	OR	0.5088391182320037	3.4698955175873976e-24
50	x4cl	SC7	0.6318353226934714	5.894479810333363e-40
51	x4cl	OB3	0.6081479256348279	2.2506286007461223e-36
52	x4cl	GH	0.5455160787001317	3.2170390715589644e-28
53	x4cl	TX4	0.7455573489683207	1.361446898602392e-62
54	x4cl	F1MLT35	0.5741091419388645	1.0026222428529958e-31
55	x4cl	F1YLT35	0.5834926802881039	5.9424743475104174e-33
56	x4cl	X4cl	1.0	0.0
57	x4cl	OB2	0.5434899591941011	5.537601161037225e-28
58	x4cl	Seeds	0.5354443568757716	4.616527214272083e-27
59	x4cl	Ptrichocarpa	0.3269338870028511	4.6234727868766895e-10
60	x4cl	F1YLT25	0.5577506933438402	1.1183246083148289e-29
61	x4cl	CB3	0.6211178550523916	2.685446224815318e-38
62	x4cl	TB1	0.6504734477045842	5.31715994093494e-43
63	x4cl	F1MLT25	0.5402090832207171	1.3239766924041839e-27
64	x4cl	WT Leaf REC	0.07632597286982	0.15657803980858104
65	x4cl	SC3	0.6346743734521437	2.089836050034581e-40
66	x4cl	BCMLT35	0.5789911070947108	2.331431929743682e-32
67	x4cl	BCYLT35	0.5881260246854203	1.4230317096447232e-33
68	x4cl	BCYLT25	0.5579680670787566	1.0522038273827014e-29
69	x4cl	WT Leaf WW		1.0
70	x4cl	NW LPI_1	0.6838312188540457	5.086230823417368e-49
71	x4cl	BCMLT25	0.5687745414571431	4.801597518107688e-31
72	x4cl	Ptremula	-0.08561805528143875	0.11189227831067518
73	x4cl	Ptremuloides	-0.19684147714913036	0.00022931165117311535
74	x4cl	TB3	0.1146715685461596	0.032979378068739164
75	x4cl	TB2	0.07447828728436873	0.16688470891077467
76	x4cl	Pbalsamifera	-0.2803183598905053	1.1452257887895414e-07
77	x4cl	SC11	0.15689571635430996	0.0034333960529886348
78	x4cl	TW LPI_5	-0.06327809198921676	0.24041185893325065
79	x4cl	Xcntl	0.11736087806653975	0.029058884470511647
80	x4cl	CX3_1stTW	0.2554010407880411	1.482300452550822e-06
81	x4cl	WT Xylem DR		1.0
