	query name	match name	R	p-value
82	x4cl	PdTW	0.015377338215286527	0.7756312760874793
83	x4cl	WT Leaf DR		1.0
84	x4cl	Pdeltoides	0.2668528756453704	4.718324177151947e-07
85	x4cl	NW bark_LPI_6_14	0.619230579319168	5.181650325295824e-38
86	x4cl	Psimonii	0.4766854993384345	4.962243749107276e-21
87	x4cl	TW bark_LPI_6_14	0.5928330964195231	3.2529528009895143e-34
88	x4cl	TW Xylem_LPI_6_14	0.6814991796257681	1.4232633716591274e-48
89	x4cl	Hypocotyls	-0.1438704805022222	0.00735298965946802
90	x4cl	CB2	-0.15144547756942123	0.00475534361450341
91	x4cl	NW Xylem_below_bend		1.0
92	x4cl	B4cl1	-0.032965054948617296	0.5411117787923877
93	x4cl	CX1	-0.1015031954517005	0.05928011811804716
94	x4cl	WT Xylem WW	-0.0432322126024853	0.4227667662574729
95	x4cl	CX4	-0.03611140790492858	0.50317743068037
96	x4cl	WT.SW	-0.2743412831240435	2.1673371437764724e-07
97	x4cl	NW Xylem_LPI_6_14	-0.07742594497934324	0.15067473663334072
98	x4cl	TW LPI_15	-0.4019523958439196	7.23694323389321e-15
99	x4cl	Bcntl	-0.0035305602908334557	0.9478278401559109
100	x4cl	WT Xylem REC	-0.07351994589968118	0.17242649154910145
101	x4cl	TX3_1stTW	-0.08720325787212567	0.10538476551216332
102	x4cl	CX2	-0.20159433220294629	0.00015992337485834667
103	x4cl	TW Xylem_below_bend	-0.08600783004457425	0.11026364644875074
104	x4cl	NW LPI_15	-0.4575690405148708	2.628637531542873e-19
105	x4cl	TR	-0.05915790952705856	0.27247531593049124
106	x4cl	WT.TW.1		1.0
107	x4cl	CB1	-0.09493462333819212	0.07781946109577675
108	x4cl	Ptrico pollen	-0.03583863642769563	0.5064098449586882
109	x4cl	TX2	-0.2860069070317568	6.152963685655984e-08
110	x4cl	Germinated root	-0.12218555377584153	0.02302128337343877
111	x4cl	NW LPI_5	-0.2322773645440227	1.2722995128827214e-05
112	x4cl	R.Hairy_Roots	-0.14499537125219034	0.0069006574437011185
113	x4cl	TX1	-0.20342879268968672	0.00013884480228887924
114	x4cl	PdSW	0.10268520023008539	0.05636665915469321
115	x4cl	WT Root DR	-0.1895717369879892	0.00039159909038011405
116	x4cl	OX4	0.030075366801599265	0.5771613685736041
117	x4cl	WT Root WW		1.0
118	x4cl	CR	0.26694198025517324	4.675492511893512e-07
119	x4cl	WT Root REC	0.22638885765636255	2.1266791718948172e-05
120	x4cl	OX2	0.010369752373635481	0.847588914728778
121	x4cl	L.Apical	0.18749113349013313	0.0004547964637178086
122	x4cl	L.Expanding	0.12461711237040575	0.02041297919507536
123	x4cl	WT Bark DR		1.0
124	x4cl	S.shoot_Tips	0.19894792235606465	0.0001956623352640108
125	x4cl	S.Primary	0.19265716806533115	0.0003127705232618947
126	x4cl	L.Young	0.17864230138582132	0.0008444370652457767
127	x4cl	WT Bark REC	0.18296353852850564	0.0006264061816319103
128	x4cl	S.Secondary	0.2048996909758112	0.00012385665652435527
129	x4cl	WT Bark WW	0.19354885553059403	0.00029290953959136833
