query name	match name	R	p-value	reference	Cluster
x4cl	WT.NW.B	0.063558873	0.23832744		
x4cl	TW LPI_5	-0.063278092	0.240411859		
x4cl	TR	-0.05915791	0.272475316		
x4cl	WTGA.NW.B	-0.057075837	0.289739491		
x4cl	OEGA.ARK2.OW	0.052908916	0.326450356		
x4cl	miR.ARK2.OW	-0.050114801	0.352681858		
x4cl	WT Xylem WW	-0.043232213	0.422766766		
x4cl	longday-developing-drought	-0.040030327	0.45796003		
x4cl	CX4	-0.036111408	0.503177431		
x4cl	Ptrico pollen	-0.035838636	0.506409845		
x4cl	OEGA.ARK2.NW.B	0.034943365	0.517094962		
x4cl	Roots CAD mutant	0.034244747	0.52551304		
x4cl	B4cl1	-0.032965055	0.541111779		
x4cl	OX4	0.030075367	0.577161369		
x4cl	longday-developing-control	-0.023103908	0.668462186		
x4cl	PdTW	0.015377338	0.775631276		
x4cl	miR.ARK2.NW.B	0.013279497	0.805581675		
x4cl	OX2	0.010369752	0.847588915		
x4cl	Bcntl	-0.00353056	0.94782784		
x4cl	Control root 		1		
x4cl	Roots WT		1		
x4cl	WT.TW		1		
x4cl	WTControl		1		
x4cl	WT Leaf WW		1		
x4cl	WT Xylem DR		1		
x4cl	WT Leaf DR		1		
x4cl	NW Xylem_below_bend		1		
x4cl	WT.TW.1		1		
x4cl	WT Root WW		1		
x4cl	WT Bark DR		1		
